Evolución nº de ingresados en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Ingresados en Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/05/18;420;71;55;37;41;16;3;4;9;6;5;3;16;8;48;29;1;3;16;49;
2020/05/19;407;67;55;36;37;15;4;3;7;6;7;5;16;7;43;31;1;3;15;49;
2020/05/20;407;70;62;33;36;19;3;3;8;6;6;4;15;7;39;29;1;3;14;49;
2020/05/21;397;69;64;34;35;17;2;3;11;3;5;6;16;7;35;25;1;1;14;49;
2020/05/22;379;71;60;32;35;13;2;5;8;3;3;5;16;7;33;21;1;1;14;49;
2020/05/23;392;74;62;32;38;15;1;5;8;2;4;6;16;6;35;23;1;1;14;49;
2020/05/24;395;73;64;31;38;20;1;4;9;2;4;6;15;6;35;22;1;1;14;49;
2020/05/25;392;72;61;31;37;21;3;5;7;2;3;7;15;7;33;23;1;1;14;49;
2020/05/26;397;68;56;43;47;20;5;5;4;2;4;8;14;7;26;24;1;1;13;49;
2020/05/27;381;65;51;44;51;15;2;5;2;2;3;5;15;7;26;24;1;1;13;49;
2020/05/28;356;54;44;40;47;12;4;5;2;3;3;8;14;8;26;22;1;1;13;49;
2020/05/29;330;47;45;30;44;12;4;5;2;2;3;5;13;8;25;21;1;1;13;49;
2020/05/30;335;44;48;28;44;16;3;5;3;2;3;7;12;8;26;22;1;1;13;49;
2020/05/31;352;47;48;29;49;16;3;6;3;3;4;8;11;8;30;23;1;1;13;49;
2020/06/01;350;48;44;28;47;17;3;5;4;4;5;8;11;9;30;23;1;1;13;49;
2020/06/02;345;49;40;31;48;18;4;3;5;3;5;7;8;9;29;21;1;1;13;50;
2020/06/03;345;49;37;37;46;16;6;4;4;2;7;4;8;9;28;23;1;1;13;50;
2020/06/04;321;43;34;32;44;18;3;4;2;3;7;4;7;9;26;21;1;0;13;50;
2020/06/05;300;32;42;29;39;13;4;5;3;3;7;2;7;9;23;19;1;;12;50;
2020/06/06;293;29;42;26;41;9;4;4;3;3;6;2;7;8;27;19;1;;12;50;
2020/06/07;307;34;41;27;44;11;4;4;4;3;8;2;7;8;29;18;1;;12;50;
2020/06/08;304;39;35;22;48;15;2;4;3;2;7;3;7;9;28;17;1;;12;50;
2020/06/09;305;44;35;24;43;13;3;4;4;4;6;2;7;8;29;15;1;;13;50;
2020/06/10;291;39;38;23;41;15;2;4;3;2;5;3;5;7;26;15;1;;12;50;
2020/06/11;287;44;37;23;37;14;1;4;2;4;5;3;5;8;24;13;1;;12;50;
2020/06/12;273;42;33;22;36;13;2;4;2;3;3;4;5;7;23;11;1;;12;50;
2020/06/13;280;45;36;25;37;11;1;4;3;2;3;5;5;7;22;11;1;;12;50;
2020/06/14;290;50;38;26;38;11;2;4;3;2;4;5;5;7;22;11;1;;11;50;
2020/06/15;294;47;44;28;35;14;3;3;3;2;6;4;5;7;21;11;1;;11;49;
2020/06/16;296;43;46;31;33;16;4;3;3;1;6;6;4;7;21;11;1;;11;49;
2020/06/17;303;47;41;41;30;17;4;1;3;3;6;3;5;7;21;14;1;;10;49;
2020/06/18;298;47;48;34;32;15;2;1;2;2;5;2;4;7;22;14;1;;11;49;
2020/06/19;285;42;48;27;30;20;1;0;2;1;3;1;4;7;23;15;1;;11;49;
2020/06/20;285;40;50;27;29;19;2;;2;2;3;2;4;7;22;15;1;;11;49;
2020/06/21;293;39;54;29;29;20;2;;3;2;3;1;4;7;24;15;1;;11;49;
2020/06/22;301;39;51;33;34;20;3;1;4;2;2;3;4;7;22;15;1;;11;49;
2020/06/23;312;47;44;32;38;20;3;1;6;3;2;4;4;8;22;18;1;;10;49;
2020/06/24;318;54;46;30;38;14;2;0;7;2;3;6;4;8;24;18;1;;12;49;
2020/06/25;312;52;45;27;35;15;2;2;5;2;3;7;4;8;25;18;1;;12;49;
2020/06/26;286;42;37;24;30;13;3;1;8;3;1;4;4;9;24;21;1;;12;49;
2020/06/27;289;41;35;26;33;11;3;1;6;3;1;4;4;9;28;22;1;;12;49;
2020/06/28;301;45;40;25;36;10;3;1;7;4;0;4;4;9;30;21;1;;12;49;
2020/06/29;303;51;44;25;32;13;2;0;6;5;1;2;4;9;27;21;1;;11;49;
2020/06/30;295;45;42;27;30;12;1;;4;5;1;2;4;10;28;21;1;;13;49;
2020/07/01;275;42;37;25;27;10;2;;3;6;1;1;3;10;26;20;1;;12;49;
2020/07/02;280;44;42;22;30;9;1;1;3;6;1;2;3;10;27;17;1;;12;49;
2020/07/03;272;36;39;21;32;9;2;2;1;6;4;1;3;10;29;15;1;;12;49;
2020/07/04;271;38;37;20;32;8;1;2;1;6;4;3;3;10;29;15;1;;12;49;
2020/07/05;285;38;41;23;33;9;2;3;1;6;4;4;3;10;31;15;1;;12;49;
2020/07/06;296;43;48;26;30;8;4;3;2;5;3;4;4;9;27;16;1;;13;50;
2020/07/07;288;44;52;24;29;8;3;2;2;2;2;5;4;10;25;14;1;;12;49;
2020/07/08;288;42;49;26;26;8;6;3;3;3;2;6;4;11;24;13;1;;12;49;
2020/07/09;273;38;46;24;27;9;4;2;1;2;2;6;4;11;23;11;1;;13;49;
2020/07/10;267;40;41;27;23;10;5;3;3;2;2;5;4;11;18;11;1;;12;49;
2020/07/11;280;39;47;30;26;9;6;3;4;3;2;5;4;11;18;11;1;;12;49;
2020/07/12;293;42;48;30;30;10;5;3;5;4;2;5;4;11;19;13;1;;12;49;
2020/07/13;294;46;48;26;30;12;4;3;4;2;2;5;4;11;19;16;1;;12;49;
2020/07/14;298;42;48;31;30;18;4;4;2;1;1;6;4;11;19;16;1;;11;49;
2020/07/15;290;42;50;28;29;15;3;4;2;1;1;6;4;10;19;17;1;;9;49;
2020/07/16;274;42;43;27;25;9;3;3;2;2;1;6;2;10;22;17;1;;10;49;
2020/07/17;259;33;40;26;27;9;4;3;2;0;3;5;2;10;19;15;1;;11;49;
2020/07/18;261;34;44;21;26;12;4;3;2;;3;5;2;10;19;15;1;;11;49;
2020/07/19;268;34;44;21;29;12;4;3;2;4;3;5;2;10;20;14;1;;11;49;
2020/07/20;280;42;43;21;31;13;4;3;5;4;4;3;2;10;21;14;1;;10;49;
2020/07/21;274;44;39;22;29;13;2;1;5;3;4;5;2;10;19;17;1;;9;49;
2020/07/22;277;44;39;18;33;14;4;2;6;1;6;3;2;9;20;17;1;;9;49;
2020/07/23;281;44;39;18;30;15;4;1;6;4;8;2;2;9;23;17;1;;9;49;
2020/07/24;269;38;30;19;34;13;5;1;6;4;5;3;2;10;21;18;1;;10;49;
2020/07/25;277;40;31;19;36;13;5;2;6;3;3;5;2;10;22;20;1;;10;49;
2020/07/26;290;40;33;22;36;17;5;2;7;4;3;5;2;10;24;20;1;;10;49;
2020/07/27;296;45;30;30;30;14;5;2;11;3;6;5;2;10;24;20;1;;9;49;
2020/07/28;273;34;31;26;26;12;5;2;10;3;4;3;2;10;26;20;1;;10;48;
2020/07/29;280;42;31;22;28;10;6;1;10;3;5;4;2;10;27;20;1;;10;48;
2020/07/30;293;46;40;26;32;7;5;1;12;3;4;3;2;10;24;18;1;;11;48;
2020/07/31;307;44;45;25;36;9;7;1;12;4;5;3;2;10;26;18;1;;11;48;
2020/08/01;306;43;45;25;40;8;7;1;9;2;5;4;2;10;27;18;1;;11;48;
2020/08/02;320;46;43;22;48;13;6;1;9;2;5;4;2;10;29;18;1;;13;48;
2020/08/03;329;52;41;26;44;14;6;2;11;1;4;4;2;10;30;20;1;;13;48;
2020/08/04;315;44;38;30;44;14;6;2;8;2;5;3;2;11;25;19;1;;13;48;
2020/08/05;324;51;40;36;43;16;6;1;7;0;3;3;2;11;24;20;1;;12;48;
2020/08/06;323;50;47;31;41;16;8;1;6;;4;3;2;11;22;20;1;;12;48;
2020/08/07;334;57;45;32;39;20;8;1;9;1;6;3;1;11;20;19;1;;13;48;
2020/08/08;347;68;41;36;37;19;6;1;9;2;6;3;1;11;26;19;1;;13;48;
2020/08/09;362;68;47;36;39;20;7;1;10;2;7;3;1;11;29;19;1;;13;48;
2020/08/10;374;68;46;36;44;23;8;3;12;2;5;3;1;11;31;19;1;;13;48;
2020/08/11;369;66;45;35;44;18;9;4;11;1;4;3;1;10;35;20;1;;14;48;
2020/08/12;385;64;50;37;56;16;10;3;14;1;4;2;1;9;39;18;1;;12;48;
2020/08/13;396;69;58;35;49;18;11;3;16;2;4;4;0;9;41;17;1;;11;48;
2020/08/14;374;71;59;30;45;14;11;3;12;3;1;3;1;9;36;16;1;;11;48;
2020/08/15;398;76;61;34;50;19;13;3;11;3;1;3;1;9;38;16;1;;11;48;
2020/08/16;430;82;71;35;59;20;14;3;13;3;2;2;1;9;39;17;1;;11;48;
2020/08/17;433;83;70;36;62;21;11;3;14;3;4;1;2;8;39;17;1;;10;48;
2020/08/18;431;79;74;40;65;19;10;3;13;3;3;1;2;8;35;16;1;;11;48;
2020/08/19;439;77;84;39;65;17;11;2;15;3;1;1;2;8;40;16;1;;9;48;
2020/08/20;437;73;81;34;59;21;11;1;16;3;2;2;2;8;50;16;1;;9;48;
2020/08/21;437;76;77;34;56;25;7;0;16;6;2;2;2;7;51;18;1;;9;48;
2020/08/22;468;80;82;34;63;28;7;;17;6;3;3;2;7;60;18;1;;9;48;
2020/08/23;484;78;89;31;71;31;9;;15;6;2;3;2;7;64;18;1;;9;48;
2020/08/24;482;72;78;39;66;33;10;3;14;6;3;3;2;7;70;18;1;;9;48;
2020/08/25;484;70;75;45;65;32;10;6;10;8;3;1;3;7;72;18;1;;10;48;
2020/08/26;484;68;75;47;64;30;12;6;12;5;4;1;3;8;72;17;1;;11;48;
2020/08/27;495;73;79;48;65;29;13;6;14;3;3;2;3;8;72;17;1;;11;48;
2020/08/28;516;71;91;53;68;28;13;7;14;3;2;0;3;8;76;19;1;;11;48;
2020/08/29;529;73;92;61;71;26;13;7;14;1;2;;3;7;80;19;1;;11;48;
2020/08/30;554;76;94;67;80;29;13;8;13;2;3;;3;7;80;19;1;;11;48;
2020/08/31;542;82;90;63;70;35;13;6;12;3;2;;4;7;78;18;1;;10;48;
2020/09/01;553;89;93;58;73;27;14;6;10;4;4;1;4;7;84;19;1;;11;48;
2020/09/02;554;93;90;71;68;27;11;6;9;4;3;1;4;6;81;19;1;;12;48;
2020/09/03;554;96;95;73;61;22;13;9;9;4;3;1;4;7;78;19;1;;11;48;
2020/09/04;531;82;96;76;56;29;13;8;7;2;1;1;4;7;72;17;1;;11;48;
2020/09/05;562;88;104;81;62;32;14;9;8;1;1;1;4;7;73;17;1;;11;48;
2020/09/06;595;95;109;88;67;36;15;12;9;1;2;1;4;7;72;18;1;;11;47;
2020/09/07;551;85;97;79;59;33;14;8;11;1;1;4;4;8;71;18;1;;10;47;
2020/09/08;559;77;101;82;59;29;17;9;11;2;4;4;4;8;75;19;1;;10;47;
2020/09/09;576;81;113;74;57;26;21;11;12;5;3;3;4;7;82;20;1;;9;47;
2020/09/10;567;70;102;80;59;24;20;13;12;7;4;3;5;7;83;20;1;;10;47;
2020/09/11;556;64;102;86;54;27;16;13;13;10;3;1;6;7;80;18;1;;8;47;
2020/09/12;584;70;107;91;59;32;15;13;12;11;3;2;6;7;82;18;1;;8;47;
2020/09/13;612;75;113;96;59;35;15;12;11;12;7;3;6;7;87;19;1;;7;47;
2020/09/14;601;76;110;85;57;36;16;10;13;10;8;3;5;8;90;19;1;;7;47;
2020/09/15;603;77;110;82;55;35;17;12;14;9;4;7;5;8;93;20;1;;7;47;
2020/09/16;599;73;110;82;56;29;18;10;15;12;6;8;6;8;94;18;1;;6;47;
2020/09/17;570;67;104;80;54;31;13;11;15;10;4;6;6;8;87;19;1;;7;47;
2020/09/18;557;65;96;77;51;33;14;10;9;13;5;7;4;8;92;19;1;;6;47;
2020/09/19;562;64;101;76;51;34;14;10;10;11;5;10;4;8;89;20;1;;7;47;
2020/09/20;575;67;104;71;53;41;15;12;9;13;4;10;4;8;89;20;1;;7;47;
2020/09/21;559;68;97;63;53;40;16;11;11;11;5;12;3;8;85;20;1;;8;47;
2020/09/22;555;73;96;64;52;32;21;14;10;11;5;9;3;8;77;22;1;1;9;47;
2020/09/23;553;74;93;63;57;27;22;15;11;10;6;10;3;8;71;24;1;1;10;47;
2020/09/24;541;78;89;60;56;23;22;16;11;7;6;9;2;8;72;23;1;1;10;47;
2020/09/25;508;75;79;62;51;25;18;14;10;7;6;7;2;8;60;24;1;1;11;47;
2020/09/26;517;77;80;66;51;22;19;14;12;8;4;8;2;8;62;24;1;1;11;47;
2020/09/27;545;81;86;69;57;22;21;14;13;10;6;7;2;8;65;24;1;1;11;47;
2020/09/28;536;78;76;75;50;24;19;13;13;9;7;7;3;8;68;26;1;1;11;47;
2020/09/29;525;75;76;79;52;24;17;7;10;8;4;6;6;8;69;24;1;1;11;47;
2020/09/30;528;77;83;79;57;23;15;5;9;7;4;7;8;8;62;24;1;1;11;47;
2020/10/01;525;81;83;78;50;24;12;5;10;6;7;9;9;8;58;25;1;1;11;47;
2020/10/02;504;80;80;78;41;21;13;4;8;8;5;8;11;8;54;26;1;1;10;47;
2020/10/03;512;82;89;75;41;21;11;5;7;7;7;9;11;8;54;26;1;1;10;47;
2020/10/04;536;89;87;79;44;24;11;5;7;9;13;9;11;8;55;26;1;1;10;47;
2020/10/05;555;97;84;81;49;27;10;6;8;6;11;12;13;8;58;27;1;0;10;47;
2020/10/06;560;96;78;83;53;31;12;6;10;7;9;11;13;8;58;27;1;;10;47;
2020/10/07;569;92;77;83;56;37;14;6;9;9;10;9;14;8;58;30;1;;9;47;
2020/10/08;565;89;73;86;60;32;14;6;6;9;10;9;14;8;59;32;1;;10;47;
2020/10/09;528;79;66;94;58;26;13;7;3;5;4;11;13;9;54;29;1;;9;47;
2020/10/10;522;77;66;87;56;26;10;7;4;6;4;14;13;9;56;30;1;;9;47;
2020/10/11;551;79;68;90;59;29;15;8;6;7;6;14;12;9;62;30;1;;9;47;
2020/10/12;557;81;66;95;60;30;15;9;7;6;5;13;12;9;62;30;1;;9;47;
2020/10/13;564;79;76;93;58;33;19;9;6;4;5;11;13;9;62;30;1;;9;47;
2020/10/14;588;78;76;97;61;43;23;7;7;6;5;9;12;9;67;32;1;;8;47;
2020/10/15;575;77;73;100;54;39;22;6;5;5;4;13;16;8;65;32;1;;9;46;
2020/10/16;569;77;68;99;52;39;20;7;11;7;4;11;17;8;63;30;1;1;8;46;
2020/10/17;585;83;71;101;56;39;19;6;11;8;4;11;18;8;64;30;1;1;8;46;
2020/10/18;612;87;74;105;60;45;24;5;14;9;4;13;17;8;61;30;1;1;8;46;
2020/10/19;606;82;65;109;64;39;25;6;15;10;2;17;17;8;59;32;1;1;8;46;
2020/10/20;645;93;78;116;70;36;25;5;19;10;2;18;16;8;58;35;1;1;8;46;
2020/10/21;635;85;77;110;66;38;30;5;20;11;2;17;18;8;57;35;1;1;8;46;
2020/10/22;636;81;84;97;65;46;31;7;27;8;5;16;19;8;51;34;1;1;9;46;
2020/10/23;622;72;80;105;53;50;30;8;24;8;6;16;22;8;47;37;1;1;8;46;
2020/10/24;649;73;85;111;62;51;32;8;23;10;5;18;22;8;48;37;1;1;8;46;
2020/10/25;698;82;94;114;70;59;31;12;22;12;6;19;22;8;54;37;1;1;8;46;
2020/10/26;715;90;95;116;66;59;33;15;22;11;10;20;21;9;53;39;1;1;8;46;
2020/10/27;725;92;107;122;65;56;29;14;19;10;10;17;21;9;55;43;1;1;8;46;
2020/10/28;707;90;101;129;62;50;25;16;15;9;8;16;18;9;56;46;1;1;9;46;
2020/10/29;715;83;106;128;65;48;28;13;19;11;7;16;19;9;58;47;1;1;10;46;
2020/10/30;707;78;104;133;58;44;29;13;20;15;8;15;19;9;57;47;1;1;10;46;
2020/10/31;736;83;116;130;59;47;34;13;18;15;9;17;19;9;65;44;1;1;10;46;
2020/11/01;775;85;125;127;68;52;36;16;21;16;14;18;20;9;67;43;1;1;10;46;
2020/11/02;763;86;115;126;66;54;34;15;21;14;12;21;20;8;75;40;1;1;8;46;
2020/11/03;751;84;112;116;68;58;32;16;21;12;13;20;20;7;75;41;1;1;8;46;
2020/11/04;770;87;119;125;75;63;33;14;17;12;14;20;19;6;72;37;1;1;9;46;
2020/11/05;749;84;117;125;74;54;30;17;19;8;17;21;18;6;70;33;1;1;8;46;
2020/11/06;723;86;103;119;72;53;32;19;18;10;18;23;16;5;67;26;1;1;8;46;
2020/11/07;763;93;112;121;74;52;38;25;23;14;20;21;16;5;70;23;1;1;8;46;
2020/11/08;773;95;117;115;75;52;38;24;25;16;21;22;16;5;78;18;1;1;8;46;
2020/11/09;782;100;112;132;72;46;37;20;22;18;25;23;18;5;78;18;1;1;8;46;
2020/11/10;762;94;111;127;76;39;37;21;24;18;22;23;18;5;78;13;1;1;8;46;
2020/11/11;758;93;106;128;90;36;32;21;21;21;18;26;15;5;76;13;1;1;9;46;
2020/11/12;756;91;104;130;85;40;32;21;22;22;18;26;15;5;77;12;1;1;8;46;
2020/11/13;726;81;100;128;77;36;37;20;23;22;14;23;17;5;77;10;1;1;8;46;
2020/11/14;743;90;99;126;76;37;42;20;23;23;18;25;15;5;80;8;1;1;8;46;
2020/11/15;762;93;104;123;82;42;41;22;22;26;21;24;15;5;79;7;1;1;8;46;
2020/11/16;730;90;102;125;73;41;36;15;23;23;17;22;15;5;80;7;1;1;8;46;
2020/11/17;721;81;97;128;82;39;34;16;19;17;16;26;16;5;82;7;1;1;8;46;
